Book,Sentence
Book 2,"I’d
usually	only	clear	the	tube	halfway,	and	inhale	more	water	than	air."
Book 2,"From	the
jump,	I	was	operating	from	an	oxygen	deficit	while	fighting	to	stay	near	the
surface."
Book 2,"In	military	training,	it’s	the	instructors’	job	to	identify	weak	links	and	challenge
them	to	perform	or	quit,	and	they	could	tell	I	was	struggling."
Book 2,"In	the	pool	that
day,	one	of	them	was	always	in	my	face,	yelling	and	thrashing	me,	while	I
choked,	trying	and	failing	to	gulp	air	through	a	narrow	tube	to	stave	off	the
wizard."
Book 2,"I	went	under	and	remember	looking	up	at	the	rest	of	the	class,	splayed
out	like	serene	starfish	on	the	surface."
Book 2,"Calm	as	can	be,	they	passed	their	snorkels
back	and	forth	with	ease,	while	I	fumed."
Book 2,"I	know	now	that	my	instructor	was	just
doing	his	job,	but	back	then	I	thought,	This	fucker’s	not	giving	me	a	fair	shot!
I	passed	that	evolution	too,	but	I	still	had	eleven	more	evolutions	and	four	more
weeks	of	water	confidence	training	to	go."
Book 2,It	made	sense.
Book 2,"We	would	be	jumping
out	of	airplanes	over	water."
Book 2,We	needed	it.
Book 2,"I	just	didn’t	want	to	do	it	anymore,
and	the	next	morning,	I	was	offered	a	way	out	I	hadn’t	seen	coming."
Book 2,"Weeks	earlier,	we’d	had	our	blood	drawn	during	a	med	check,	and	the	doctors
had	just	discovered	I	carried	the	Sickle	Cell	Trait."
Book 2,"I	didn’t	have	the	disease,
Sickle	Cell	Anemia,	but	I	had	the	trait,	which	was	believed	at	the	time	to
increase	the	risk	of	sudden,	exercise-related	death	due	to	cardiac	arrest."
Book 2,"The	Air
Force	didn’t	want	me	dropping	dead	in	the	middle	of	an	evolution	and	pulled	me
out	of	training	on	a	medical."
Book 2,"I	pretended	to	take	the	news	hard,	as	if	my	dream
was	being	ripped	away."
Book 2,"I	made	a	big	fucking	act	of	being	pissed	off,	but	inside	I
was	ecstatic.Later	that	week	the	doctors	reversed	their	decision."
Book 2,"They	didn’t	specifically	say
it	was	safe	for	me	to	continue,	but	they	said	the	trait	wasn’t	yet	well	understood
and	allowed	me	to	decide	for	myself."
Book 2,"When	I	reported	back	to	training	the
Master	Sergeant	(MSgt)	informed	me	that	I’d	missed	too	much	time	and	that	if	I
wanted	to	continue	I	would	have	to	start	over	from	day	one,	week	one."
Book 2,"Instead	of
less	than	four	weeks,	I’d	have	to	endure	another	ten	weeks	of	the	terror,	rage,
and	insomnia	that	came	with	water	confidence."
Book 2,"These	days,	that	kind	of	thing	wouldn’t	even	register	on	my	radar."
Book 2,"You	tell	me	to
run	longer	and	harder	than	everyone	else	just	to	get	a	fair	shake,	I’d	say,	“Roger
that,”	and	keep	moving,	but	back	then	I	was	still	half-baked."
Book 2,"Physically	I	was
strong,	but	I	was	not	even	close	to	mastering	my	mind."
Book 2,"The	MSgt	stared	at	me,	awaiting	my	response."
Book 2,"I	couldn’t	even	look	him	in	the
eye	when	I	said,	“You	know	what,	Master	Sergeant,	the	doctor	doesn’t	know
much	about	this	Sickle	Cell	thing,	and	it’s	bothering	me.”
He	nodded,	emotionless,	and	signed	the	papers	pulling	me	out	of	the	program	for
good."
Book 2,"He	cited	Sickle	Cell,	and	on	paper	I	didn’t	quit,	but	I	knew	the	truth."
Book 2,"If	I
had	been	the	guy	I	am	today,	I	wouldn’t	have	given	two	fucks	about	Sickle	Cell."
Book 2,I	still	have	the	Sickle	Cell	Trait.
Book 2,"You	don’t	just	get	rid	of	it,	but	back	then	an
obstacle	had	appeared,	and	I’d	folded."
Book 2,"I	moved	on	to	Fort	Campbell,	Kentucky,	told	my	friends	and	family	that	I	was
forced	from	the	program	on	a	medical,	and	served	out	my	four	years	in	the
Tactical	Air	Control	Party	(TAC-P),	which	works	with	some	special	operations
units."
Book 2,"I	trained	to	liaise	between	ground	units	and	air	support—fast	movers	like
F-15s	and	F-16s—behind	enemy	lines."
Book 2,"It	was	challenging	work	with	intelligent
people,	but	sadly	I	was	never	proud	of	it	and	didn’t	see	the	opportunities	offered
because	I	knew	I	was	a	quitter	who	had	let	fear	dictate	my	future."
Book 2,I	buried	my	shame	in	the	gym	and	at	the	kitchen	table.
Book 2,"I	got	into	powerlifting
and	layered	on	the	mass."
Book 2,I	ate	and	worked	out.
Book 2,Worked	out	and	ate.
Book 2,"In	my	last
days	in	the	Air	Force	I	weighed	255	pounds."
Book 2,"After	my	discharge	I	continued	to
bulk	up	with	both	muscle	and	fat	until	I	weighed	nearly	300	pounds."
Book 2,"I	wanted	to
be	big	because	being	big	hid	David	Goggins."
Book 2,"I	was	able	to	tuck	this	175-pound
person	into	those	21-inch	biceps	and	that	flabby	belly."
Book 2,"I	grew	a	burly	mustache
and	was	intimidating	to	everyone	who	saw	me,	but	inside	I	knew	I	was	a	pussy,290	lbs	at	the	beach	in	1999
***
The	morning	I	began	to	take	charge	of	my	destiny	started	out	like	any	other."
Book 2,"When	the	clock	struck	7	a.m.,	my	Ecolab	shift	ended	and	I	hit	the	Steak	’n	Shake
drive-thru	to	score	a	large	chocolate	milkshake."
Book 2,"Next	stop,	7-Eleven,	for	a	box	of
Hostess	mini	chocolate	doughnuts."
Book 2,"I	gobbled	those	on	my	forty-five-minute
drive	home,	to	a	beautiful	apartment	on	a	golf	course	in	pretty	Carmel,	Indiana,
which	I	shared	with	my	wife,	Pam,	and	her	daughter."
Book 2,"Remember	that	Pizza	Hut
incident?"
Book 2,I	married	that	girl.
Book 2,I	married	a	girl	whose	dad	called	me	a	nigger.
Book 2,"What
does	that	say	about	me?"
Book 2,We	couldn’t	afford	that	life.
Book 2,"Pam	wasn’t	even	working,	but	in	those	credit-card-
debt-loading	days,	nothing	made	much	sense."
Book 2,"I	was	doing	70	mph	on	the
highway,	mainlining	sugar	and	listening	to	a	local	classic	rock	station	when
Sound	of	Silence	poured	from	the	stereo."
Book 2,"Simon	&	Garfunkel’s	words	echoed
like	truth."
Book 2,Darkness	was	a	friend	indeed.
Book 2,"I	worked	in	the	dark,	hid	my	true	self	from	friends
and	strangers."
Book 2,"Nobody	would	have	believed	how	numb	and	afraid	I	was	back
then	because	I	looked	like	a	beast	that	no	one	would	dare	fuck	with,	but	my
mind	wasn’t	right,	and	my	soul	was	weighed	down	by	too	much	trauma	and
failure."
Book 2,"I	had	every	excuse	in	the	world	to	be	a	loser,	and	used	them	all."
Book 2,"My	life
was	crumbling,	and	Pam	dealt	with	that	by	fleeing	the	scene."
Book 2,"Her	parents	still
lived	in	Brazil,	just	seventy	miles	away."
Book 2,We	spent	most	of	our	time	apart.
Book 2,"I	arrived	home	from	work	around	8	a.m.,	and	the	phone	rang	as	soon	as	I	walked
in	the	door."
Book 2,It	was	my	mother.
Book 2,She	knew	my	routine.
Book 2,"“Come	on	over	for	your	staple,”	she	said."
Book 2,"My	staple	was	a	breakfast	buffet	for	one,	the	likes	of	which	few	could	put	down
in	a	single	sitting."
Book 2,"Think:	eight	Pillsbury	cinnamon	rolls,	a	half-dozen	scrambled
eggs,	a	half-pound	of	bacon,	and	two	bowls	of	Fruity	Pebbles."
Book 2,"Don’t	forget,	I
had	just	decimated	a	box	of	donuts	and	a	chocolate	shake."
Book 2,"I	didn’t	even	have	to
respond."
Book 2,She	knew	I	was	coming.
Book 2,"Food	was	my	drug	of	choice	and	I	always
sucked	up	every	last	crumb.I	hung	up,	flipped	on	the	television,	and	stomped	down	the	hall	to	the	shower,
where	I	could	hear	a	narrator’s	voice	filter	through	the	steam."
Book 2,I	caught	snippets.
Book 2,"“Navy	SEALs…toughest…the	world.”	I	wrapped	a	towel	around	my	waist	and
rushed	back	into	the	living	room."
Book 2,"I	was	so	big,	the	towel	barely	covered	my	fat
ass,	but	I	sat	down	on	the	couch	and	didn’t	move	for	thirty	minutes."
Book 2,"The	show	followed	Basic	Underwater	Demolition	SEAL	(BUD/S)	Training
Class	224	through	Hell	Week:	the	most	arduous	series	of	tasks	in	the	most
physically	demanding	training	in	the	military."
Book 2,"I	watched	men	sweat	and	suffer	as
they	tore	through	muddy	obstacle	courses,	ran	on	the	soft	sand	holding	logs
overhead,	and	shivered	in	icy	surf."
Book 2,"Sweat	pearled	on	my	scalp,	I	was	literally	on
the	edge	of	my	seat	as	I	saw	guys—some	of	the	strongest	of	them	all—ring	the
bell	and	quit."
Book 2,Made	sense.
Book 2,"Only	one-third	of	the	men	who	begin	BUD/S	make	it
through	Hell	Week,	and	in	all	of	my	time	in	Pararescue	training,	I	couldn’t
remember	feeling	as	awful	as	these	men	looked."
Book 2,"They	were	swollen,	chafed,
sleep-deprived,	and	dead	on	their	feet,	and	I	was	jealous	of	them."
Book 2,"The	longer	I	watched	the	more	certain	I	became	that	there	were	answers	buried
in	all	that	suffering."
Book 2,Answers	that	I	needed.
Book 2,"More	than	once	the	camera	panned
over	the	endless	frothing	ocean,	and	each	time	I	felt	pathetic."
Book 2,"The	SEALs	were
everything	I	wasn’t."
Book 2,"They	were	about	pride,	dignity,	and	the	type	of	excellence
that	came	from	bathing	in	the	fire,	getting	beat	the	fuck	down,	and	going	back
for	more,	again	and	again."
Book 2,"They	were	the	human	equivalent	of	the	hardest,
sharpest	sword	you	could	imagine."
Book 2,"They	sought	out	the	flame,	took	the	pounding
for	as	long	as	necessary,	longer	even,	until	they	were	fearless	and	deadly."
Book 2,"They
weren’t	motivated."
Book 2,They	were	driven.
Book 2,The	show	ended	with	graduation.
Book 2,"Twenty-
two	proud	men	stood	shoulder	to	shoulder	in	their	dress	whites	before	the
camera	pushed	in	on	their	Commanding	Officer."
Book 2,"“In	a	society	where	mediocrity	is	too	often	the	standard	and	too	often	rewarded,”
he	said,	“there	is	intense	fascination	with	men	who	detest	mediocrity,	who	refuse
to	define	themselves	in	conventional	terms,	and	who	seek	to	transcend
traditionally	recognized	human	capabilities."
Book 2,"This	is	exactly	the	type	of	person
BUD/S	is	meant	to	find."
Book 2,"The	man	who	finds	a	way	to	complete	each	and	every
task	to	the	best	of	his	ability."
Book 2,"The	man	who	will	adapt	and	overcome	any	and	all
obstacles.”
In	that	moment	it	felt	as	though	the	Commanding	Officer	was	talking	directly	tome,	but	after	the	show	ended	I	walked	back	to	the	bathroom,	faced	the	mirror,
and	stared	myself	down."
Book 2,I	looked	every	bit	of	300	pounds.
Book 2,"I	was	everything	all
the	haters	back	home	said	I	would	be:	uneducated,	with	no	real	world	skills,	zero
discipline,	and	a	dead-end	future."
Book 2,"Mediocrity	would	have	been	a	major
promotion."
Book 2,"I	was	at	the	bottom	of	the	barrel	of	life,	pooling	in	the	dregs,	but,	for
the	first	time	in	way	too	long,	I	was	awake."
Book 2,"I	barely	spoke	to	my	mother	during	breakfast,	and	only	ate	half	my	staple
because	my	mind	was	on	unfinished	business."
Book 2,"I’d	always	wanted	to	join	an	elite
special	operations	unit,	and	beneath	all	the	rolls	of	flesh	and	layers	of	failure,
that	desire	was	still	there."
Book 2,"Now	it	was	coming	back	to	life,	thanks	to	a	chance
viewing	of	a	show	that	continued	to	work	on	me	like	a	virus	moving	cell	to	cell,
taking	over."
Book 2,It	became	an	obsession	I	couldn’t	shake.
Book 2,"Every	morning	after	work	for	almost
three	weeks,	I	called	active	duty	recruiters	in	the	Navy	and	told	them	my	story."
Book 2,"I
called	offices	all	over	the	country."
Book 2,"I	said	I	was	willing	to	move	as	long	as	they
could	get	me	to	SEAL	training."
Book 2,Everyone	turned	me	down.
Book 2,"Most	weren’t
interested	in	candidates	with	prior	service."
Book 2,"One	local	recruiting	office	was
intrigued	and	wanted	to	meet	in	person,	but	when	I	got	there	they	laughed	in	my
face."
Book 2,"I	was	way	too	heavy,	and	in	their	eyes	I	was	just	another	delusional
pretender."
Book 2,I	left	that	meeting	feeling	the	same	way.
Book 2,"After	calling	all	the	active	duty	recruiting	offices	I	could	find,	I	dialed	the	local
unit	of	the	Naval	reserves,	and	spoke	to	Petty	Officer	Steven	Schaljo	for	the	first
time."
Book 2,"Schaljo	had	worked	with	multiple	F-14	Squadrons	as	an	electrician	and
instructor	at	NAS	Miramar	for	eight	years	before	joining	the	recruitment	staff	in
San	Diego,	where	the	SEALs	train."
Book 2,"He	worked	day	and	night	and	rose	quickly	in
the	ranks."
Book 2,"His	move	to	Indianapolis	came	with	a	promotion	and	the	challenge	of
finding	Navy	recruits	in	the	middle	of	the	corn."
Book 2,"He’d	only	been	on	the	job	in
Indy	for	ten	days	by	the	time	I	called,	and	if	I’d	reached	anyone	else	you
probably	wouldn’t	be	reading	this	book."
Book 2,"But	through	a	combination	of	dumb
luck	and	stubborn	persistence	I	found	one	of	the	finest	recruiters	in	the	Navy,	a
guy	whose	favorite	task	was	discovering	diamonds	in	the	rough—prior	service
guys	like	me	who	were	looking	to	re-enlist	and	hoping	to	land	in	special
operations."
Book 2,Our	initial	conversation	didn’t	last	long.
Book 2,He	said	he	could	help	me	and	that	Ishould	come	in	to	meet	in	person.
Book 2,That	sounded	familiar.
Book 2,"I	grabbed	my	keys	and
drove	straight	to	his	office,	but	didn’t	get	my	hopes	too	high."
Book 2,"By	the	time	I
arrived	a	half-hour	later	he	was	already	on	the	phone	with	BUD/S
administration."
Book 2,"Every	sailor	in	that	office—all	of	them	white—were	surprised	to	see	me	except
Schaljo."
Book 2,"If	I	was	a	heavyweight,	Schaljo	was	a	lightweight	at	5’7”,	but	he	didn’t
seem	fazed	by	my	size,	at	least	not	at	first."
Book 2,"He	was	outgoing	and	warm,	like	any
salesman,	though	I	could	tell	he	had	some	pit	bull	in	him."
Book 2,"He	led	me	down	a	hall
to	weigh	me	in,	and	while	standing	on	the	scale	I	eyed	a	weight	chart	pinned	to
the	wall."
Book 2,"At	my	height,	the	maximum	allowable	weight	for	the	Navy	was	191
pounds."
Book 2,"I	held	my	breath,	sucked	in	my	gut	as	much	as	I	could,	and	puffed	out
my	chest	in	a	sorry	attempt	to	stave	off	the	humiliating	moment	where	he’d	let
me	down	easy."
Book 2,That	moment	never	came.
Book 2,"“You’re	a	big	boy,”	Schaljo	said,	smiling	and	shaking	his	head,	as	he	scratched
297	pounds	on	a	chart	in	his	file	folder."
Book 2,"“The	Navy	has	a	program	that	allows
recruits	in	the	reserves	to	become	active	duty."
Book 2,That’s	what	we’ll	use	for	this.
Book 2,"It’s
being	phased	out	at	the	end	of	the	year,	so	we	need	to	get	you	classed	up	before
then."
Book 2,"Point	is,	you	have	some	work	to	do,	but	you	knew	that.”	I	followed	his
eyes	to	the	weight	chart	and	checked	it	again."
Book 2,"He	nodded,	smiled,	patted	me	on
the	shoulder,	and	left	me	to	face	my	truth."
Book 2,I	had	less	than	three	months	to	lose	106	pounds.
Book 2,"It	sounded	like	an	impossible	task,	which	is	one	reason	I	didn’t	quit	my	job."
Book 2,"The
other	was	the	ASVAB."
Book 2,"That	nightmare	test	had	come	back	to	life	like
Frankenstein’s	fucking	monster."
Book 2,"I’d	passed	it	once	before	to	enlist	in	the	Air
Force,	but	to	qualify	for	BUD/S	I’d	have	to	score	much	higher."
Book 2,"For	two	weeks	I
studied	all	day	and	zapped	pests	each	night."
Book 2,I	wasn’t	working	out	yet.
Book 2,"Serious
weight	loss	would	have	to	wait."
Book 2,I	took	the	test	on	a	Saturday	afternoon.
Book 2,The	following	Monday	I	called	Schaljo.
Book 2,"“Welcome	to	the	Navy,”	he	said."
Book 2,He	downloaded	the	good	news	first.
Book 2,"I’d	done
exceptionally	well	on	some	sections	and	was	now	officially	a	reservist,	but	I’d
only	scored	a	44	on	Mechanical	Comprehension."
Book 2,"To	qualify	for	BUD/S	I	needed
a	50."
Book 2,"I’d	have	to	retake	the	entire	test	in	five	weeks.These	days	Steven	Schaljo	likes	to	call	our	chance	connection	“fate.”	He	said	he
could	sense	my	drive	the	first	moment	we	spoke,	and	that	he	believed	in	me
from	the	jump,	which	is	why	my	weight	wasn’t	an	issue	for	him,	but	after	that
ASVAB	test	I	was	full	of	doubt."
Book 2,"So	maybe	what	happened	later	that	night	was
also	a	form	of	fate,	or	a	much	needed	dose	of	divine	intervention."
Book 2,"I’m	not	going	to	drop	the	name	of	the	restaurant	where	it	went	down	because	if	I
did	you’d	never	eat	there	again	and	I’d	have	to	hire	a	lawyer."
Book 2,"Just	know,	this
place	was	a	disaster."
Book 2,I	checked	the	traps	outside	first	and	found	a	dead	rat.
Book 2,"Inside,	there	were	more	dead	rodents—a	mouse	and	two	rats—on	the	sticky
traps,	and	roaches	in	the	garbage	which	hadn’t	been	emptied."
Book 2,"I	shook	my	head,
got	down	on	my	knees	under	the	sink,	and	sprayed	up	through	a	narrow	gap	in
the	wall."
Book 2,"I	didn’t	know	it	yet,	but	I’d	found	their	nesting	column	and	when	the
poison	hit	they	started	to	scatter."
Book 2,Within	seconds	there	was	a	skittering	across	the	back	of	my	neck.
Book 2,"I	brushed	it
off,	and	craned	my	neck	to	see	a	storm	of	roaches	raining	down	to	the	kitchen
floor	from	an	open	panel	in	the	ceiling."
Book 2,"I’d	hit	the	motherlode	of	cockroaches
and	the	worst	infestation	I	ever	saw	on	the	job	for	Ecolab."
Book 2,They	kept	coming.
Book 2,Roaches	landed	on	my	shoulders	and	my	head.
Book 2,"The	floor	was	writhing	with
them."
Book 2,"I	left	my	canister	in	the	kitchen,	grabbed	the	sticky	traps,	and	burst	outside."
Book 2,"I
needed	fresh	air	and	more	time	to	figure	out	how	I	was	going	to	clear	the
restaurant	of	vermin."
Book 2,"I	considered	my	options	on	my	way	to	the	dumpster	to
trash	the	rodents,	opened	the	lid,	and	found	a	live	raccoon,	hissing	mad."
Book 2,"He
bared	his	yellow	teeth	and	lunged	at	me."
Book 2,I	slammed	the	dumpster	shut.
Book 2,What	the	fuck?
Book 2,"I	mean,	seriously,	what	the	fucking	fuck?"
Book 2,"When	was	enough
truly	going	to	be	enough?"
Book 2,"Was	I	willing	to	let	my	sorry	present	become	a
fucked-up	future?"
Book 2,"How	much	longer	would	I	wait,	how	many	more	years	would
I	burn,	wondering	if	there	was	some	greater	purpose	out	there	waiting	for	me?"
Book 2,"I
knew	right	then	that	if	I	didn’t	make	a	stand	and	start	walking	the	path	of	most
resistance,	I	would	end	up	in	this	mental	hell	forever."
Book 2,I	didn’t	go	back	inside	that	restaurant.
Book 2,I	didn’t	collect	my	gear.
Book 2,"I	started	my
truck,	stopped	for	a	chocolate	shake—my	comfort	tea	at	that	time—and	drove
home."
Book 2,It	was	still	dark	when	I	pulled	up.
Book 2,I	didn’t	care.
Book 2,"I	stripped	off	my	workclothes,	put	on	some	sweats	and	laced	up	my	running	shoes."
Book 2,"I	hadn’t	run	in	over
a	year,	but	I	hit	the	streets	ready	to	go	four	miles."
Book 2,I	lasted	400	yards.
Book 2,My	heart	raced.
Book 2,"I	was	so	dizzy	I	had	to	sit	down	on	the	edge
of	the	golf	course	to	catch	my	breath	before	making	the	slow	walk	back	to	my
house,	where	my	melted	shake	was	waiting	to	comfort	me	in	yet	another	failure."
Book 2,"I	grabbed	it,	slurped,	and	slumped	into	my	sofa."
Book 2,My	eyes	welled	with	tears.
Book 2,Who	the	fuck	did	I	think	I	was?
Book 2,"I	was	born	nothing,	I’d	proven	nothing,	and	I
still	wasn’t	worth	a	damn	thing."
Book 2,"David	Goggins,	a	Navy	SEAL?"
Book 2,"Yeah,	right."
Book 2,What	a	pipe	dream.
Book 2,I	couldn’t	even	run	down	the	block	for	five	minutes.
Book 2,"All	my
fears	and	insecurities	I’d	bottled	up	for	my	entire	life	started	raining	down	on	my
head."
Book 2,I	was	on	the	verge	of	giving	in	and	giving	up	for	good.
Book 2,"That’s	when	I
found	my	old,	beat	to	shit	VHS	copy	of	Rocky	(the	one	I’d	had	for	fifteen	years),
slid	it	into	the	machine,	and	fast	forwarded	to	my	favorite	scene:	Round	14."
Book 2,"The	original	Rocky	is	still	one	of	my	all-time	favorite	films	because	it’s	about	a
know-nothing	journeyman	fighter	living	in	poverty	with	no	prospects."
Book 2,"Even	his
own	trainer	won’t	work	with	him."
Book 2,"Then,	out	of	the	blue,	he’s	given	a	title	shot
with	the	champion,	Apollo	Creed,	the	most	feared	fighter	in	history,	a	man	that
has	knocked	out	every	opponent	he’s	ever	faced."
Book 2,"All	Rocky	wants	is	to	be	the
first	to	go	the	distance	with	Creed."
Book 2,"That	alone	will	make	him	someone	he	could
be	proud	of	for	the	first	time	in	his	life."
Book 2,"The	fight	is	closer	than	anyone	anticipated,	bloody	and	intense,	and	by	the
middle	rounds	Rocky	is	taking	on	more	and	more	punishment."
Book 2,"He’s	losing	the
fight,	and	in	Round	14	he	gets	knocked	down	early,	but	pops	right	back	up	in	the
center	of	the	ring."
Book 2,"Apollo	moves	in,	stalking	him	like	a	lion."
Book 2,"He	throws	sharp	left
jabs,	hits	a	slow-footed	Rocky	with	a	staggering	combination,	lands	a	punishing
right	hook,	and	another."
Book 2,He	backs	Rocky	into	a	corner.
Book 2,Rocky’s	legs	are	jelly.
Book 2,He	can’t	even	muster	the	strength	to	raise	his	arms	in	defense.
Book 2,"Apollo	slams
another	right	hook	into	the	side	of	Rocky’s	head,	then	a	left	hook,	and	a	vicious
right-handed	uppercut	that	puts	Rocky	down."
Book 2,"Apollo	retreats	to	the	opposite	corner	with	his	arms	held	high,	but	even	face
down	in	that	ring,	Rocky	doesn’t	give	up."
Book 2,"As	the	referee	begins	his	ten-count,
Rocky	squirms	toward	the	ropes."
Book 2,"Mickey,	his	own	trainer,	urges	him	to	stay
down,	but	Rocky	isn’t	hearing	it."
Book 2,"He	pulls	himself	up	to	one	knee,	then	all	fours.The	referee	hits	six	as	Rocky	grabs	the	ropes	and	rises	up."
Book 2,"The	crowd	roars,	and
Apollo	turns	to	see	him	still	standing."
Book 2,Rocky	waves	Apollo	over.
Book 2,"The	champ’s
shoulders	slump	in	disbelief."
Book 2,The	fight	isn’t	over	yet.
Book 2,I	turned	off	the	television	and	thought	about	my	own	life.
Book 2,"It	was	a	life	devoid	of
any	drive	and	passion,	but	I	knew	if	I	continued	to	surrender	to	my	fear	and	my
feelings	of	inadequacy,	I	would	be	allowing	them	to	dictate	my	future	forever."
Book 2,"My	only	other	choice	was	to	try	to	find	the	power	in	the	emotions	that	had	laid
me	low,	harness	and	use	them	to	empower	me	to	rise	up,	which	is	exactly	what	I
did."
Book 2,"I	dumped	that	shake	in	the	trash,	laced	up	my	shoes,	and	hit	the	streets	again."
Book 2,"On
my	first	run,	I	felt	severe	pain	in	my	legs	and	my	lungs	at	a	quarter	mile."
Book 2,"My
heart	raced	and	I	stopped."
Book 2,"This	time	I	felt	the	same	pain,	my	heart	raced	like	a
car	running	hot,	but	I	ran	through	it	and	the	pain	faded."
Book 2,"By	the	time	I	bent	over
to	catch	my	breath,	I’d	run	a	full	mile."
Book 2,"That’s	when	I	first	realized	that	not	all	physical	and	mental	limitations	are	real,
and	that	I	had	a	habit	of	giving	up	way	too	soon."
Book 2,"I	also	knew	that	it	would	take
every	ounce	of	courage	and	toughness	I	could	muster	to	pull	off	the	impossible."
Book 2,"I
was	staring	at	hours,	days,	and	weeks	of	non-stop	suffering."
Book 2,"I	would	have	to
push	myself	to	the	very	edge	of	my	mortality."
Book 2,"I	had	to	accept	the	very	real
possibility	that	I	might	die	because	this	time	I	wouldn’t	quit,	no	matter	how	fast
my	heart	raced	and	no	matter	how	much	pain	I	was	in."
Book 2,"Trouble	was	there	was	no
battle	plan	to	follow,	no	blueprint."
Book 2,I	had	to	create	one	from	scratch.
Book 2,The	typical	day	went	something	like	this.
Book 2,"I’d	wake	up	at	4:30	a.m.,	munch	a
banana,	and	hit	the	ASVAB	books."
Book 2,"Around	5	a.m.,	I’d	take	that	book	to	my
stationary	bike	where	I’d	sweat	and	study	for	two	hours."
Book 2,"Remember,	my	body
was	a	mess."
Book 2,"I	couldn’t	run	multiple	miles	yet,	so	I	had	to	burn	as	many	calories
as	I	could	on	the	bike."
Book 2,"After	that	I’d	drive	over	to	Carmel	High	School	and	jump
into	the	pool	for	a	two-hour	swim."
Book 2,"From	there	I	hit	the	gym	for	a	circuit	workout
that	included	the	bench	press,	the	incline	press,	and	lots	of	leg	exercises."
Book 2,"Bulk
was	the	enemy."
Book 2,"I	needed	reps,	and	I	did	five	or	six	sets	of	100–200	reps	each."
Book 2,Then	it	was	back	to	the	stationary	bike	for	two	more	hours.I	was	constantly	hungry.
Book 2,"Dinner	was	my	one	true	meal	each	day,	but	there
wasn’t	much	to	it."
Book 2,"I	ate	a	grilled	or	sautéed	chicken	breast	and	some	sautéed
vegetables	along	with	a	thimble	of	rice."
Book 2,"After	dinner	I’d	do	another	two	hours	on
the	bike,	hit	the	sack,	wake	up	and	do	it	all	over	again,	knowing	the	odds	were
stacked	sky	high	against	me."
Book 2,"What	I	was	trying	to	achieve	is	like	a	D-student
applying	to	Harvard,	or	walking	into	a	casino	and	putting	every	single	dollar	you
own	on	a	number	in	roulette	and	acting	as	if	winning	is	a	foregone	conclusion."
Book 2,"I
was	betting	everything	I	had	on	myself	with	no	guarantees."
Book 2,"I	weighed	myself	twice	daily,	and	within	two	weeks	I’d	dropped	twenty-five
pounds."
Book 2,"My	progress	only	improved	as	I	kept	grinding,	and	the	weight	started
peeling	off."
Book 2,"Ten	days	later	I	was	at	250,	light	enough	to	begin	doing	push-ups,
pull-ups,	and	to	start	running	my	ass	off."
Book 2,"I’d	still	wake	up,	hit	the	stationary	bike,
the	pool,	and	the	gym,	but	I	also	incorporated	two-,	three-,	and	four-mile	runs."
Book 2,"I
ditched	my	running	shoes	and	ordered	a	pair	of	Bates	Lites,	the	same	boots
SEAL	candidates	wear	in	BUD/S,	and	started	running	in	those."
Book 2,"With	so	much	effort,	you’d	think	my	nights	would	have	been	restful,	but	they
were	filled	with	anxiety."
Book 2,My	stomach	growled	and	my	mind	swirled.
Book 2,"I’d	dream
of	complex	ASVAB	questions	and	dread	the	next	day’s	workouts."
Book 2,"I	was	putting
out	so	much,	on	almost	no	fuel,	that	depression	became	a	natural	side	effect."
Book 2,"My
splintering	marriage	was	veering	toward	divorce."
Book 2,"Pam	made	it	very	clear	that	she
and	my	stepdaughter	would	not	be	moving	to	San	Diego	with	me,	if	by	some
miracle	I	could	pull	this	off."
Book 2,"They	stayed	in	Brazil	most	of	the	time,	and	when	I
was	all	alone	in	Carmel,	I	was	in	turmoil."
Book 2,"I	felt	both	worthless	and	helpless	as
my	endless	stream	of	self-defeating	thoughts	picked	up	steam."
Book 2,"When	depression	smothers	you,	it	blots	out	all	light	and	leaves	you	with	nothing
to	cling	onto	for	hope."
Book 2,All	you	see	is	negativity.
Book 2,"For	me,	the	only	way	to	make	it
through	that	was	to	feed	off	my	depression."
Book 2,"I	had	to	flip	it	and	convince	myself
that	all	that	self-doubt	and	anxiety	was	confirmation	that	I	was	no	longer	living
an	aimless	life."
Book 2,"My	task	may	turn	out	to	be	impossible	but	at	least	I	was	back	on
a	motherfucking	mission."
Book 2,"Some	nights,	when	I	was	feeling	low,	I’d	call	Schaljo."
Book 2,"He	was	always	in	the
office	early	in	the	morning	and	late	at	night."
Book 2,"I	didn’t	confide	in	him	about	my
depression	because	I	didn’t	want	him	to	doubt	me."
Book 2,"I	used	those	calls	to	pump
myself	up."
Book 2,"I	told	him	how	many	pounds	I	dropped	and	how	much	work	I	wasputting	in,	and	he	reminded	me	to	keep	studying	for	that	ASVAB."
Book 2,Roger	that.
Book 2,"I	had	the	Rocky	soundtrack	on	cassette	and	I’d	listen	to	Going	the	Distance	for
inspiration."
Book 2,"On	long	bike	rides	and	runs,	with	those	horns	blasting	in	my	brain,
I’d	imagine	myself	going	through	BUD/S,	diving	into	cold	water,	and	crushing
Hell	Week."
Book 2,"I	was	wishing,	I	was	hoping,	but	by	the	time	I	was	down	to	250,	my
quest	to	qualify	for	the	SEALs	wasn’t	a	daydream	anymore."
